NAME: TEST-19-N200
 
--------------------------------------------------------------------------------
 
$ DATA SECTIONS
 
  NN  NK  NR NTR    VEL    BMAX    CPOW TIMEMAX QMAX F0CHAR F0VEHIC
 200  50   9   2    25.  20000.    125.    480. 2300   2.27   100.
 
CUSTOMERS:
  NO.  XCOORD.  YCOORD.  DEMAND  SERVICE TIME
 
   1      113       52      149            8.
   2       39       71      148           10.
   3       57      128      201           10.
   4       73       79      156            9.
   5       59       62      138            8.
   6      120       46      206            8.
   7       68       43      116            9.
   8       33       56      148            8.
   9       66      124      184            9.
  10       28      115      179            8.
  11       26      119      159            9.
  12      113       26      123            8.
  13       57       21      211            9.
  14      124       84      166           10.
  15       47       91      115           12.
  16       29       13      203           11.
  17       70      113      220           11.
  18       23      121      131           10.
  19       24      112      156           11.
  20       74       71      125           11.
  21       31       61      228           11.
  22      102      117      124           10.
  23       14       77      123           10.
  24      118       84      130            8.
  25       34       61      227            9.
  26       37      112      165           11.
  27      124       83      171           11.
  28       23       12      120           12.
  29       45       43      124           10.
  30      126       45      140            9.
  31       51       45      164            9.
  32      121       44      124           12.
  33       47       64      116           12.
  34       94      123      213           11.
  35      129       16      142           11.
  36       67       80      130           12.
  37       34       28      226            9.
  38      125       88      196            9.
  39       12       62      208           11.
  40       85       39      207           11.
  41      103       79      176           11.
  42      104       15      117           11.
  43       91       47      146           11.
  44       85       15      226           10.
  45       65      108      139           11.
  46       88       29      120            8.
  47       82       26      185           11.
  48       83       16      132           10.
  49       93       73      120           11.
  50      124      103      147           11.
  51       67      107      152           10.
  52      117       15      120           11.
  53       87      119      185           11.
  54       33       83      199            9.
  55       99       25      214            9.
  56       59       89      151           10.
  57       57       90      154           11.
  58       87       54      186           10.
  59       63      123      216           10.
  60       36       68      155           10.
  61      108      116      135           10.
  62       52       67      146            8.
  63       90       84      118           12.
  64       81       11      148            8.
  65       95       86      173            8.
  66       13       80      131           11.
  67       74      117      131            9.
  68       49       70      212            8.
  69       47       36      177           12.
  70      102       13      189            8.
  71       22      116      151           10.
  72       11       69      229           10.
  73       60      124      176           12.
  74       92       91      158            9.
  75      121       18      162           11.
  76      102       17      178            8.
  77       24      126      166            9.
  78      126       19      155           12.
  79      100      111      178           11.
  80       90       59      146           11.
  81      127       17      169           12.
  82      101       82      181           11.
  83       19       92      142           10.
  84       68       75      131           10.
  85      119       21      214            8.
  86       22       62      225            9.
  87       15       91      180           10.
  88       32       10      154            9.
  89       98       39      156            9.
  90       18       97      195           10.
  91       49       67      219           12.
  92       50       92      181           10.
  93       76       65      198           11.
  94       78      115      225            9.
  95       20       38      141           11.
  96      117       14      166           11.
  97      109      130      178           11.
  98       58      118      220            8.
  99       16       52      159           11.
 100       11       33      169           12.
 101      102      116      225            8.
 102       54      108      153            9.
 103       19      107      135           11.
 104      124      124      226            8.
 105       68       96      206            9.
 106      122      127      118           12.
 107       11       15      161           10.
 108      115      124      205           11.
 109       22       92      127           11.
 110       44       32      185            9.
 111       81       44      150           12.
 112       64      123      125            8.
 113       46       15      156           12.
 114       83       53      121            9.
 115       11       54      118           11.
 116      105       32      148            9.
 117       20       93      146           10.
 118       79       17      159           10.
 119       54       18      220            8.
 120      109       90      225           12.
 121       51       57      222            9.
 122      125      112      182            8.
 123       25      127      123           11.
 124       84       34      135           10.
 125       11      102      164           11.
 126       50       96      137           11.
 127       70       71      139           11.
 128       59      112      213            9.
 129       81       80      137           11.
 130       10      102      199           10.
 131       45       15      170           11.
 132       59      124      193           10.
 133       36      113      188           11.
 134      105       52      189            8.
 135       39       64      181            8.
 136       24       80      187            8.
 137       25       24      125            8.
 138      109      122      142           12.
 139       97      110      230           11.
 140       30       51      193            8.
 141       98      120      217           10.
 142       34       75      184           12.
 143       48      118      213            9.
 144       53       61      221            9.
 145       96       68      216           11.
 146      124       39      187            9.
 147       17       75      156           10.
 148       83      111      158           12.
 149       13       48      177           12.
 150       37       97      229            8.
 151      109       44      129            9.
 152       93      109      121           10.
 153       11       34      128           11.
 154       81       69      146           11.
 155      126       32      134           12.
 156       83       31      184            9.
 157       15       68      115           12.
 158      129       55      210            8.
 159       56      108      189           12.
 160       34      120      182           11.
 161       37       13      172           10.
 162       26       58      159            9.
 163       95       25      170           11.
 164       44       60      141           11.
 165      125       22      208            9.
 166      111      102      199           10.
 167       67       67      169            8.
 168       63      111      205            9.
 169      102      104      168            9.
 170      102       84      211            8.
 171       83       93      148           10.
 172      112       86      224           11.
 173       31      120      182            8.
 174       23      119      121            9.
 175       88       71      176           12.
 176      102      124      208           12.
 177       99      122      223            9.
 178       62       39      170            9.
 179       49       98      170            8.
 180       27      110      201            9.
 181       37      105      135           11.
 182       21       80      215           10.
 183       76       98      222           10.
 184       96       62      159            8.
 185      111      127      205            8.
 186      110      127      173           12.
 187      100       54      149           12.
 188       30       90      163           11.
 189      124       97      210           11.
 190       30       91      227            9.
 191       81       89      190           11.
 192      112      125      206           12.
 193      125       51      164           11.
 194      120       64      221            9.
 195       27      108      127           10.
 196      115       18      193           11.
 197       86       77      206           10.
 198       72       37      215            8.
 199       19       31      150            8.
 200       29       78      132            9.
 
RECHARGE POINTS:
  NO.  XCOORD.  YCOORD.  T0CHAR  TECHNOLOGIES
 
   0       70       70       0.         1 0 0
 201       70       70       5.         0 1 1
 202       40       40       5.         0 1 0
 203       70       40       5.         0 1 1
 204      100       40       5.         0 1 0
 205       40       70       5.         0 1 1
 206      100       70       5.         0 1 1
 207       40      100       5.         0 1 0
 208       70      100       5.         0 1 1
 209      100      100       5.         0 1 0
 
TECHNOLOGY KINDS:
  KIND  SPEED RECHARGE  UNIT COST
 
     0           3600.      0.160
     1          20000.      0.176
     2          45000.      0.192
 
END
