NAME: TEST-15-N200
 
--------------------------------------------------------------------------------
 
$ DATA SECTIONS
 
  NN  NK  NR NTR    VEL    BMAX    CPOW TIMEMAX QMAX F0CHAR F0VEHIC
 200  50   9   2    25.  20000.    125.    480. 2300   2.27   100.
 
CUSTOMERS:
  NO.  XCOORD.  YCOORD.  DEMAND  SERVICE TIME
 
   1      107      124      158            9.
   2      120       43      223           12.
   3       51       11      147           10.
   4      116      111      169           12.
   5       79       62      207            8.
   6      124       82      188           12.
   7       42       62      169            9.
   8      114       54      219           11.
   9       82       13      225           12.
  10       71       36      133           10.
  11       19       42      206            9.
  12      120      109      154            8.
  13       33       42      177            9.
  14       62       95      168            9.
  15       17      103      150            9.
  16       63       81      228            8.
  17       84       79      194            9.
  18       76       51      204            8.
  19       34       60      139           11.
  20       23      103      140           12.
  21       38       74      222           11.
  22      100       69      199            9.
  23      121       42      229           12.
  24       82      124      193           11.
  25       89       14      218            9.
  26       17       24      117            8.
  27      123       41      152           11.
  28       58       38      124            8.
  29      120       77      163            9.
  30       53       19      217           10.
  31       71       61      120            9.
  32       66       40      218           10.
  33      101       42      209           10.
  34       80       97      206            9.
  35       68       52      219           10.
  36       45      108      131           12.
  37       52       45      117           11.
  38       91       31      191           11.
  39      112       62      196            9.
  40       76       67      121           11.
  41       91      110      223            9.
  42       43       59      179           11.
  43       15       43      211           11.
  44      105      115      202            8.
  45      114       64      198           12.
  46       34       97      229           10.
  47       80       79      143            8.
  48       50       65      203            8.
  49       31       77      134            9.
  50       21       96      153           10.
  51      106       59      223            8.
  52       10       54      146            9.
  53       34      101      138            9.
  54       60       13      136           10.
  55       48       57      208            8.
  56       62       74      227           12.
  57       31      103      201            9.
  58      101      106      157           10.
  59      117       60      123            8.
  60      125       95      167            8.
  61      115       76      166            9.
  62       45       67      212           10.
  63       74       82      163           11.
  64      110      129      202           11.
  65       17       11      164           12.
  66      114      129      152            9.
  67       18      126      140           12.
  68       65       75      224           12.
  69      113       47      153           12.
  70       52       57      192           10.
  71       43      130      223           10.
  72       52       60      209           11.
  73      126      113      162            8.
  74      109       16      202            8.
  75       85      105      116            8.
  76      130       85      131           11.
  77      100       26      187            9.
  78      114       32      150            9.
  79       81       32      187            9.
  80       24      130      209           12.
  81       70       72      125            8.
  82      120       10      222            8.
  83       36      101      131           10.
  84       64       76      167           12.
  85       95       56      181           11.
  86       74      110      214           12.
  87      111       28      141           12.
  88       76      111      151           10.
  89      124       96      149            8.
  90      119      104      211            9.
  91       68       72      119           11.
  92       76       43      196           10.
  93       47       55      220           11.
  94       29       50      199           10.
  95       63      130      171           10.
  96      114      126      137            9.
  97      121       31      210           12.
  98       68       12      187           11.
  99       57       26      117           10.
 100       89       95      164            8.
 101      112       87      159            8.
 102       44       40      160           11.
 103       14       79      178            8.
 104       17       50      189            8.
 105       13       76      224            9.
 106       45      111      169           11.
 107       56       32      156            9.
 108      107      109      191           10.
 109      117      113      168           10.
 110      126       19      188            8.
 111      108       44      206           12.
 112       49      111      192           12.
 113       51       94      221           10.
 114       69       79      216            9.
 115       38       23      201           10.
 116       48       82      146           12.
 117      130       48      118            9.
 118       62       81      127           11.
 119       14      112      176           11.
 120       30      105      183            9.
 121       67       39      118            8.
 122       88       90      182           12.
 123       48       35      230            8.
 124       74       36      201           11.
 125      106      123      138           12.
 126       68       22      190           12.
 127       97       11      145           10.
 128       50      123      130           11.
 129      107       79      157            8.
 130       64       53      163           11.
 131       41       11      201           10.
 132      103       86      207           12.
 133       25      127      206            9.
 134      113       75      178           11.
 135      122       96      120           12.
 136       18       57      129            9.
 137       54      114      116           11.
 138       15      124      135           10.
 139       26      128      216            9.
 140       87      100      197            9.
 141       15      115      162           12.
 142      130       96      198           11.
 143       14       87      218           10.
 144       31       99      141           10.
 145       67       10      220            9.
 146       44       73      137            8.
 147      119      117      200            8.
 148       83       65      205           11.
 149       37       55      153           12.
 150       79       91      185           12.
 151      118       89      142            8.
 152       97       26      125           10.
 153      104       66      180           11.
 154      103      104      163           10.
 155       48       42      115           10.
 156       86       60      203           12.
 157      122       79      211           12.
 158       41       97      190           11.
 159       89       41      172           12.
