NAME: TEST-14-N100
 
--------------------------------------------------------------------------------
 
$ DATA SECTIONS
 
  NN  NK  NR NTR    VEL    BMAX    CPOW TIMEMAX QMAX F0CHAR F0VEHIC
 100  25   9   2    25.  20000.    125.    480. 2300   2.27   100.
 
CUSTOMERS:
  NO.  XCOORD.  YCOORD.  DEMAND  SERVICE TIME
 
   1       15       10      205            9.
   2       53      117      148           10.
   3       85       65      175           11.
   4       77       73      153           10.
   5       15       27      140           10.
   6       31       94      195           11.
   7      116      128      192           12.
   8       27       89      207            8.
   9       11       68      174           12.
  10       83       35      155           10.
  11       22       88      124            9.
  12       58       18      125           10.
  13       11       94      150            9.
  14      121       15      213            8.
  15      105       56      178           10.
  16      103      102      192            9.
  17       30       77      117           10.
  18       26       98      132           11.
  19       35      113      225            8.
  20      113       16      188           12.
  21      102       26      167           12.
  22       73      128      221            8.
  23       43       29      223           10.
  24       83       62      117           12.
  25       22      110      129           10.
  26       11       34      141           10.
  27       52      106      157           12.
  28       88       46      179            8.
  29       91       56      220           10.
  30      110       93      174           10.
  31      108      107      163           10.
  32       53       22      132            8.
  33       59      107      140           12.
  34       72       81      145           11.
  35       78       72      153           11.
  36       82       45      142           11.
  37      116       82      183            9.
  38       52       71      183           10.
  39       39       34      134           12.
  40      112      130      130            8.
  41      127      118      176           11.
  42      115       75      169            9.
  43       64       94      117           11.
  44      103       30      182           12.
  45       33       56      203           10.
  46       12       98      203           10.
  47       70      123      140           11.
  48       67       55      135           11.
  49      121       76      151           12.
  50       22       41      211            8.
  51       15       55      122            9.
  52      115      126      128            9.
  53       44       14      143           11.
  54       55       69      122           12.
  55       74      109      146           11.
  56       82       16      130            8.
  57       21       96      148           12.
  58      101      117      170           10.
  59       82       55      222           11.
  60       56       18      163           10.
  61      122       90      230           10.
  62       87       85      164            8.
  63      102       44      135           12.
  64      118       58      189            9.
  65       32       18      219            9.
  66      102       96      116            8.
  67       14       16      125           10.
  68       47       68      171           10.
  69      105       76      125           12.
  70       50       57      216            9.
  71      130       95      158            8.
  72       36      119      161            9.
  73       29       77      127            8.
  74       79      119      135           10.
  75       13       56      210           12.
  76      118       17      223           11.
  77       46      115      139            9.
  78       80      130      180           12.
  79       17      128      209           11.
  80      120       63      141            9.
  81       52       81      131           11.
  82      125      127      225            8.
  83       86       52      227           12.
  84       70       41      184            9.
  85       57      114      183           12.
  86      113      100      212           11.
  87       67       37      173           12.
  88      122       80      117           10.
  89       26       13      159           10.
  90       62       34      187           10.
  91       91       11      209            9.
  92      107       80      169           11.
  93      119       47      157            9.
  94       79       47      170            9.
  95      105      125      117           10.
  96       10      121      205            9.
  97       26      105      123           11.
  98      114      129      175           11.
  99       83       82      149           10.
 100       77       28      150           11.
 
RECHARGE POINTS:
  NO.  XCOORD.  YCOORD.  T0CHAR  TECHNOLOGIES
 
   0       70       70       0.         1 0 0
 101       70       70       5.         0 1 1
 102       40       40       5.         0 1 0
 103       70       40       5.         0 1 1
 104      100       40       5.         0 1 0
 105       40       70       5.         0 1 1
 106      100       70       5.         0 1 1
 107       40      100       5.         0 1 0
 108       70      100       5.         0 1 1
 109      100      100       5.         0 1 0
 
TECHNOLOGY KINDS:
  KIND  SPEED RECHARGE  UNIT COST
 
     0           3600.      0.160
     1          20000.      0.176
     2          45000.      0.192
 
END
