NAME: TEST-29-N100
 
--------------------------------------------------------------------------------
 
$ DATA SECTIONS
 
  NN  NK  NR NTR    VEL    BMAX    CPOW TIMEMAX QMAX F0CHAR F0VEHIC
 100  25   5   2    25.  20000.    125.    480. 2300   2.27   100.
 
CUSTOMERS:
  NO.  XCOORD.  YCOORD.  DEMAND  SERVICE TIME
 
   1       34       33      217           12.
   2       37       43      207           12.
   3       48       74      197           12.
   4       71       47      118           12.
   5       50       38      193            8.
   6       21       30      147           12.
   7       30       28      119            9.
   8       26       35      156            8.
   9       39       72      194            8.
  10       34       67      122           11.
  11       45       69      159           12.
  12       29       19      227            8.
  13       31       16      202           11.
  14       71       50      173           12.
  15       36       54      182           11.
  16       67       11      119           12.
  17       41       66      213            9.
  18       50       70      166           10.
  19       58       65      127           12.
  20       53       43      211            9.
  21       12       38      221           10.
  22       63       68      218           10.
  23       54       46      170            9.
  24       72       50      176           12.
  25       14       38      150           11.
  26       62       65      147           12.
  27       39       50      137           10.
  28       38       11      136            8.
  29       34       28      169            9.
  30       64       29      209           12.
  31       43       29      116            9.
  32       28       29      128           10.
  33       63       39      126           11.
  34       12       72      169           12.
  35       20       14      205           11.
  36       49       48      194           11.
  37       26       20      220           12.
  38       23       53      173           12.
  39       49       38      222            9.
  40       41       26      199           12.
  41       25       48      205           10.
  42       47       13      199           10.
  43       66       30      227           12.
  44       43       13      156           11.
  45       62       63      198           11.
  46       17       21      190           12.
  47       41       19      154           10.
  48       15       14      208            8.
  49       74       44      179            9.
  50       33       61      133           10.
  51       27       63      149            8.
  52       58       13      148           10.
  53       66       69      201           10.
  54       19       50      156            9.
  55       15       19      138            8.
  56       43       53      206            8.
  57       13       54      116            9.
  58       58       34      148            8.
  59       70       71      184            9.
  60       15       42      179            8.
  61       32       68      159            9.
  62       51       41      123            8.
  63       74       50      211            9.
  64       45       11      166           10.
  65       15       52      115           12.
  66       42       48      203           11.
  67       58       68      220           11.
  68       27       43      131           10.
  69       70       24      156           11.
  70       60       12      125           11.
  71       73       67      228           11.
  72       48       42      124           10.
  73       18       10      123           10.
  74       63       54      130            8.
  75       49       15      227            9.
  76       74       14      165           11.
  77       34       73      171           11.
  78       22       16      120           12.
  79       51       65      124           10.
  80       48       37      140            9.
  81       19       15      164            9.
  82       12       50      124           12.
  83       13       55      116           12.
  84       18       46      213           11.
  85       30       17      142           11.
  86       72       38      130           12.
  87       43       54      226            9.
  88       74       46      196            9.
  89       71       26      208           11.
  90       60       57      207           11.
  91       61       41      176           11.
  92       24       55      117           11.
  93       64       40      146           11.
  94       56       67      226           10.
  95       16       26      139           11.
  96       52       13      120            8.
  97       69       75      185           11.
  98       25       69      132           10.
  99       51       33      120           11.
 100       37       23      147           11.
 
RECHARGE POINTS:
  NO.  XCOORD.  YCOORD.  T0CHAR  TECHNOLOGIES
 
   0       10       10       0.         1 0 0
 101       10       10       5.         0 1 1
 102       42       26       5.         0 0 1
 103       26       42       5.         0 0 1
 104       58       42       5.         0 0 1
 105       42       58       5.         0 1 1
 
TECHNOLOGY KINDS:
  KIND  SPEED RECHARGE  UNIT COST
 
     0           3600.      0.160
     1          20000.      0.176
     2          45000.      0.192
 
END
