NAME: TEST-22-N100
 
--------------------------------------------------------------------------------
 
$ DATA SECTIONS
 
  NN  NK  NR NTR    VEL    BMAX    CPOW TIMEMAX QMAX F0CHAR F0VEHIC
 100  25   5   2    25.  20000.    125.    480. 2300   2.27   100.
 
CUSTOMERS:
  NO.  XCOORD.  YCOORD.  DEMAND  SERVICE TIME
 
   1       61       63      158            9.
   2       36       46      144           10.
   3       41       66      211            9.
   4       15       20      127           10.
   5       17       28      124            9.
   6       40       46      185           12.
   7       10       37      192           10.
   8       15       70      168            8.
   9       51       28      209            8.
  10       16       32      208           11.
  11       62       43      157           11.
  12       43       72      123            8.
  13       32       58      213           12.
  14       58       13      172           10.
  15       63       74      210            9.
  16       25       24      225           11.
  17       53       47      215           10.
  18       26       30      157           11.
  19       75       47      119           10.
  20       27       55      210            8.
  21       41       46      128           10.
  22       48       58      210           10.
  23       48       73      211            9.
  24       48       28      195            8.
  25       16       72      166           10.
  26       55       14      169            9.
  27       29       41      158           12.
  28       47       67      197           12.
  29       41       62      215           11.
  30       28       71      164           12.
  31       64       32      178            9.
  32       69       55      199            9.
  33       27       24      167            8.
  34       75       67      195           12.
  35       25       28      202            9.
  36       19       22      132           10.
  37       15       52      229            9.
  38       12       38      184           10.
  39       43       38      123           10.
  40       64       42      129            9.
  41       18       36      170           11.
  42       29       39      198            8.
  43       37       18      211           10.
  44       62       35      161           11.
  45       39       12      125            8.
  46       44       10      174           10.
  47       68       56      229           12.
  48       40       30      145           12.
  49       25       60      161           10.
  50       64       12      201           11.
  51       73       43      199           11.
  52       53       48      230           12.
  53       49       39      205           10.
  54       62       59      197           11.
  55       20       10      156            8.
  56       38       65      220            8.
  57       32       41      147            9.
  58       54       74      197            8.
  59       33       68      159            8.
  60       64       48      212           12.
  61       18       73      176           10.
  62       58       35      186            9.
  63       30       14      132           11.
  64       67       21      137           10.
  65       22       36      133           11.
  66       73       23      176           11.
  67       38       60      135            9.
  68       60       62      156           12.
  69       17       29      171           10.
  70       34       13      133           10.
  71       26       26      122           12.
  72       69       43      223           12.
  73       34       45      124           11.
  74       23       19      161           12.
  75       51       69      201            9.
  76       63       52      214            8.
  77       68       26      164           11.
  78       23       39      196            8.
  79       21       40      194            9.
  80       27       22      153            9.
  81       54       27      183           10.
  82       34       60      160           11.
  83       53       25      136           12.
  84       35       14      144           10.
  85       55       47      150           12.
  86       66       64      148           11.
  87       54       51      160            9.
  88       71       48      194           10.
  89       27       64      159            9.
  90       47       21      169           12.
  91       60       64      118           10.
  92       59       68      229           10.
  93       64       39      226           12.
  94       56       65      118           12.
  95       72       36      165            8.
  96       73       35      115            8.
  97       66       28      192            9.
  98       62       72      120            9.
  99       51       47      156            8.
 100       17       10      182           12.
 
RECHARGE POINTS:
  NO.  XCOORD.  YCOORD.  T0CHAR  TECHNOLOGIES
 
   0       10       10       0.         1 0 0
 101       10       10       5.         0 1 1
 102       42       26       5.         0 0 1
 103       26       42       5.         0 0 1
 104       58       42       5.         0 0 1
 105       42       58       5.         0 1 1
 
TECHNOLOGY KINDS:
  KIND  SPEED RECHARGE  UNIT COST
 
     0           3600.      0.160
     1          20000.      0.176
     2          45000.      0.192
 
END
