NAME: TEST-10-N400
 
--------------------------------------------------------------------------------
 
$ DATA SECTIONS
 
  NN  NK  NR NTR    VEL    BMAX    CPOW TIMEMAX QMAX F0CHAR F0VEHIC
 400 100   9   2    25.  20000.    125.    480. 2300   2.27   100.
 
CUSTOMERS:
  NO.  XCOORD.  YCOORD.  DEMAND  SERVICE TIME
 
   1       44       32      230           10.
   2       27       78      138            9.
   3       96       45      153           10.
   4       89       84      143           12.
   5       76       28      123           12.
   6       12       90      132           10.
   7       93       79      139            9.
   8       22       22      144           12.
   9       18       63      165           10.
  10       27       51      217           11.
  11       97       84      139           12.
  12      129       69      174            9.
  13       92       11      151           11.
  14       34       76      137           12.
  15       97      127      195            9.
  16       51       12      133           12.
  17      128      127      148            8.
  18       68       71      192           11.
  19       59      124      191           12.
  20       84       26      172           12.
  21       79       81      227           12.
  22       73       59      160           10.
  23       21       38      129           11.
  24       42       19      139            9.
  25       15       83      131            8.
  26       44       25      145           11.
  27       97       26      195           11.
  28       80       72      197           10.
  29      115       37      115           11.
  30       47       91      192           11.
  31       60      121      221            9.
  32       95       84      213           10.
  33       31       84      151           10.
  34       36       75      229           10.
  35       99       24      198           12.
  36       68      128      145           12.
  37       90      117      136           11.
  38       73       84      185            8.
  39       54      127      202           11.
  40       43      113      223            8.
  41       18      100      120            8.
  42       35       91      224           10.
  43       22       31      192           10.
  44       80       84      221           10.
  45      126       25      202           10.
  46      110       27      154            8.
  47       99       31      182            8.
  48       33      130      212           11.
  49       76       40      146            9.
  50       27       40      160           12.
  51       11       85      140           12.
  52       60       23      173           12.
  53      115      116      194           10.
  54       66      104      176           11.
  55       17       65      122           10.
  56      120       20      222            8.
  57       39      130      216           12.
  58       16       87      199            8.
  59      116       84      166            8.
  60      117       18      167            9.
  61       33       57      118           11.
  62       48       85      168           10.
  63      128       31      121           10.
  64      112       11      143            9.
  65       12       61      223           12.
  66       67       93      173           11.
  67      123       96      211            8.
  68       22       81      205           12.
  69       74       45      221            8.
  70       79       31      117           11.
  71       89       73      196           11.
  72       55       10      141           11.
  73       70       75      156            9.
  74      112       33      119           12.
  75       85       18      182            8.
  76       31       26      154           12.
  77       35       26      115            8.
  78       21       22      141            9.
  79       65      115      142           11.
  80       45       29      228           10.
  81       77       92      162            8.
  82       95       38      143           11.
  83       65       68      157            9.
  84       18       77      188           12.
  85      113       64      205            9.
  86       82       21      180            8.
  87       63       34      115           10.
  88       14       47      118            9.
  89       37      108      184           10.
  90      101      121      190            8.
  91      121       13      161            9.
  92       49       92      195            9.
  93       73       25      158           10.
  94       38       79      171           10.
  95      105       50      217           12.
  96       35       88      139           11.
  97      109       59      155            8.
  98       38       78      123            8.
  99       32       75      199            9.
 100       12       19      161           11.
 101       75       59      181           11.
 102       85       49      194           12.
 103      109       65      175           10.
 104       62       31      157            9.
 105      100      101      142           10.
 106       90       85      186            9.
 107       39       48      153            8.
 108      124      106      194            9.
 109       23       94      166           12.
 110      116      103      152            8.
