NAME: TEST-25-N400
 
--------------------------------------------------------------------------------
 
$ DATA SECTIONS
 
  NN  NK  NR NTR    VEL    BMAX    CPOW TIMEMAX QMAX F0CHAR F0VEHIC
 400 100   5   2    25.  20000.    125.    480. 2300   2.27   100.
 
CUSTOMERS:
  NO.  XCOORD.  YCOORD.  DEMAND  SERVICE TIME
 
   1       59       44      158            9.
   2       45       64      223           12.
   3       31       65      147           10.
   4       70       35      169           12.
   5       53       68      207            8.
   6       31       44      188           12.
   7       30       20      169            9.
   8       49       61      219           11.
   9       63       20      225           12.
  10       66       15      133           10.
  11       72       11      206            9.
  12       53       42      154            8.
  13       64       63      177            9.
  14       57       43      168            9.
  15       25       69      150            9.
  16       34       39      228            8.
  17       67       70      194            9.
  18       73       40      204            8.
  19       12       13      139           11.
  20       37       59      140           12.
  21       27       24      222           11.
  22       68       16      199            9.
  23       60       43      229           12.
  24       21       20      193           11.
  25       17       51      218            9.
  26       43       58      117            8.
  27       67       29      152           11.
  28       75       38      124            8.
  29       31       17      163            9.
  30       50       72      217           10.
  31       39       60      120            9.
  32       58       30      218           10.
  33       25       39      209           10.
  34       47       27      206            9.
  35       38       60      219           10.
  36       45       57      131           12.
  37       48       75      117           11.
  38       57       28      191           11.
  39       52       63      196            9.
  40       31       46      121           11.
  41       20       49      223            9.
  42       52       43      179           11.
  43       27       60      211           11.
  44       74       60      202            8.
  45       22       36      198           12.
  46       40       60      229           10.
  47       32       43      143            8.
  48       35       74      203            8.
  49       50       46      134            9.
  50       47       55      153           10.
  51       69       27      223            8.
  52       58       10      146            9.
  53       10       47      138            9.
  54       31       61      136           10.
  55       71       38      208            8.
  56       30       44      227           12.
  57       71       10      201            9.
  58       10       29      157           10.
  59       31       63      123            8.
  60       72       56      167            8.
  61       53       72      166            9.
  62       74       28      212           10.
  63       68       32      163           11.
  64       62       52      202           11.
  65       19       44      164           12.
  66       18       24      152            9.
  67       68       51      140           12.
  68       40       52      224           12.
  69       30       40      153           12.
  70       36       32      192           10.
  71       53       71      223           10.
  72       55       41      209           11.
  73       45       42      162            8.
  74       48       61      202            8.
  75       42       18      116            8.
  76       62       53      131           11.
  77       61       20      187            9.
  78       46       31      150            9.
  79       18       15      187            9.
  80       67       42      209           12.
  81       16       22      125            8.
  82       29       66      222            8.
  83       64       40      131           10.
  84       57       46      167           12.
  85       61       15      181           11.
  86       74       39      214           12.
  87       50       71      141           12.
  88       19       73      151           10.
  89       30       26      149            8.
  90       21       70      211            9.
  91       23       29      119           11.
  92       24       54      196           10.
  93       47       34      220           11.
  94       65       20      199           10.
  95       19       64      171           10.
  96       54       18      137            9.
  97       44       30      210           12.
  98       31       41      187           11.
  99       20       16      117           10.
 100       38       65      164            8.
 101       65       57      159            8.
 102       47       63      160           11.
 103       71       15      178            8.
 104       64       65      189            8.
 105       23       42      224            9.
 106       52       72      169           11.
 107       30       42      156            9.
 108       72       34      191           10.
 109       13       63      168           10.
 110       33       71      188            8.
 111       66       68      206           12.
 112       60       70      192           12.
 113       73       71      221           10.
 114       37       41      216            9.
