NAME: TEST-22-N400
 
--------------------------------------------------------------------------------
 
$ DATA SECTIONS
 
  NN  NK  NR NTR    VEL    BMAX    CPOW TIMEMAX QMAX F0CHAR F0VEHIC
 400 100   5   2    25.  20000.    125.    480. 2300   2.27   100.
 
CUSTOMERS:
  NO.  XCOORD.  YCOORD.  DEMAND  SERVICE TIME
 
   1       36       31      224            8.
   2       63       50      226            8.
   3       67       56      186            8.
   4       10       40      189            9.
   5       72       48      187           12.
   6       51       48      172            8.
   7       13       31      165           11.
   8       57       63      230           11.
   9       50       35      217           11.
  10       32       58      138            9.
  11       71       39      175           11.
  12       34       17      207           12.
  13       47       55      152            9.
  14       28       35      155            9.
  15       52       55      215           12.
  16       73       32      151            8.
  17       73       54      136           10.
  18       38       27      160            9.
  19       20       69      222           12.
  20       61       70      124           10.
  21       23       66      156           12.
  22       47       12      213            9.
  23       39       64      209           10.
  24       39       48      125            9.
  25       27       30      183            9.
  26       74       35      165            9.
  27       28       39      194           11.
  28       47       16      219           12.
  29       62       58      179            9.
  30       11       66      193            9.
  31       62       19      133            9.
  32       36       65      132           10.
  33       26       20      119           12.
  34       46       33      211           11.
  35       11       16      194           11.
  36       73       49      141           11.
  37       18       13      191           12.
  38       71       10      179            8.
  39       13       22      202           12.
  40       50       30      143            9.
  41       75       33      213            9.
  42       67       25      125           11.
  43       46       22      229           12.
  44       64       12      203           12.
  45       36       23      194            8.
  46       40       49      117           11.
  47       28       20      125            8.
  48       39       50      230           11.
  49       54       61      199           11.
  50       38       75      174           11.
  51       54       40      172           12.
  52       75       35      141           10.
  53       22       61      195            9.
  54       20       21      128           10.
  55       33       29      206           10.
  56       68       74      186           10.
  57       73       62      197            8.
  58       46       62      205           11.
  59       72       19      173           10.
  60       71       25      219           10.
  61       31       19      137            8.
  62       21       72      122           11.
  63       49       13      185           10.
  64       59       40      199            9.
  65       59       10      172           11.
  66       22       13      150            8.
  67       52       45      134           12.
  68       50       71      196            9.
  69       56       30      138           11.
  70       58       19      116           10.
  71       27       12      169            9.
  72       70       66      188            9.
  73       41       13      188            8.
  74       54       52      194           12.
  75       73       16      188            9.
  76       67       73      121            9.
  77       40       13      202            8.
  78       34       65      173           12.
  79       45       52      220           10.
  80       27       75      202           12.
  81       67       16      230           12.
  82       64       15      213            9.
  83       59       72      211            9.
  84       49       70      128           12.
  85       66       54      214            9.
  86       65       28      187            9.
  87       11       19      214           11.
  88       58       49      118           11.
  89       72       22      191           10.
  90       38       29      180           12.
  91       39       52      225            8.
  92       63       30      125            9.
  93       64       46      140           12.
  94       23       41      132            8.
  95       20       39      196           11.
  96       34       55      174            9.
  97       65       58      140           10.
  98       46       19      160           12.
  99       61       68      223            9.
 100       66       37      118           11.
 101       42       56      156           10.
 102       57       58      156           10.
 103       23       31      137            8.
 104       30       69      209           11.
 105       44       33      228           10.
 106       15       29      145            9.
 107       27       38      215           11.
 108       64       37      208            8.
 109       21       46      178            9.
 110       53       63      151           12.
 111       60       62      187            9.
 112       25       34      146            9.
 113       13       11      155            9.
 114       50       33      192            9.
 115       44       34      215            9.
 116       46       23      154            9.
 117       15       23      205           10.
 118       55       22      211            8.
 119       67       58      212           10.
 120       17       18      116           12.
 121       43       44      211           12.
 122       45       74      158            9.
 123       30       51      219           11.
 124       34       67      165           12.
 125       74       31      120           10.
 126       16       32      149            8.
 127       67       50      182            9.
 128       39       24      124           11.
 129       25       39      134           10.
 130       49       61      190           11.
 131       40       61      168            9.
 132       45       55      177           10.
 133       59       19      148            9.
 134       33       72      172           12.
 135       56       64      121            8.
 136       35       72      221            9.
 137       71       44      165           12.
 138       14       52      202           10.
 139       32       11      218           10.
 140       50       59      187           11.
 141       73       68      142           11.
 142       60       54      170           11.
 143       19       52      141           10.
 144       49       71      133           10.
 145       63       71      221           10.
 146       45       67      167            9.
 147       16       19      220           12.
 148       55       20      175           12.
 149       60       70      144            8.
 150       69       11      206            8.
 151       15       42      153           10.
 152       21       16      120            9.
 153       67       12      176           10.
 154       56       10      117            9.
 155       27       31      173           10.
 156       38       47      219           12.
 157       71       62      160           12.
 158       58       27      141            8.
 159       26       18      173           11.
 160       53       40      230            9.
 161       48       42      209            9.
 162       73       72      217           11.
 163       34       68      222            8.
 164       74       41      194           10.
 165       50       43      136           11.
 166       35       62      165            8.
 167       56       19      203           10.
 168       44       41      189           10.
 169       64       27      201            8.
 170       47       22      176           10.
 171       62       50      203            8.
 172       31       55      228           10.
 173       68       64      202            8.
 174       73       53      124            8.
 175       49       64      188           11.
 176       38       25      142            9.
 177       31       54      142            8.
 178       24       57      158            9.
 179       10       25      183           11.
 180       14       11      160           10.
 181       71       53      230            8.
 182       50       36      226           12.
 183       66       56      133           12.
 184       34       27      142           12.
 185       34       35      167            9.
 186       14       63      180           12.
 187       31       28      161           12.
 188       35       45      115           10.
 189       43       15      123           10.
 190       50       28      131            9.
 191       35       11      148            9.
 192       56       60      130            8.
 193       68       56      185            9.
 194       13       54      168            9.
 195       12       17      191            9.
 196       60       24      187           10.
 197       54       39      127            8.
 198       26       28      129           11.
 199       61       55      127           11.
 200       25       58      215            8.
 201       72       26      214            8.
 202       43       74      115           11.
 203       52       23      181           12.
 204       49       23      126           11.
 205       36       51      157           11.
 206       26       22      181            8.
 207       57       10      139           10.
 208       70       44      189           12.
 209       20       55      206           11.
 210       67       33      169           10.
 211       42       61      150           11.
 212       35       19      170           11.
 213       35       39      162           11.
 214       31       22      173           12.
 215       72       46      122           12.
 216       13       42      154            8.
 217       37       21      142           10.
 218       60       40      214           12.
 219       22       25      152           10.
 220       54       47      179           12.
 221       33       53      127           12.
 222       61       61      133            8.
 223       61       71      128           12.
 224       45       51      168            8.
 225       45       43      202           12.
 226       16       55      144           12.
 227       32       12      149           11.
 228       27       51      195           12.
 229       24       73      135           12.
 230       49       50      129            9.
 231       19       19      182           11.
 232       25       47      171           12.
 233       10       61      190            8.
 234       22       36      122            9.
 235       14       17      180           12.
 236       29       75      180           10.
 237       69       23      214           11.
 238       46       46      215            8.
 239       19       58      210            8.
 240       46       26      155            9.
 241       15       12      209           10.
 242       26       34      142           10.
 243       35       28      142           10.
 244       20       44      118            8.
 245       70       37      140            9.
 246       21       55      123            8.
 247       26       74      213            8.
 248       31       65      165            9.
 249       57       37      141           11.
 250       29       72      181            9.
 251       22       10      183           10.
 252       37       74      149           10.
 253       61       46      123           12.
 254       19       17      227            9.
 255       27       36      198            8.
 256       37       36      153           10.
 257       30       53      117           11.
 258       34       54      155            9.
 259       63       72      226           11.
 260       34       60      164           10.
 261       30       19      151           11.
 262       74       67      134            8.
 263       74       39      202            8.
 264       21       15      149            8.
 265       31       52      199           10.
 266       73       63      185            8.
 267       16       53      204            9.
 268       57       75      205           12.
 269       57       64      160            9.
 270       46       54      222           12.
 271       35       15      157           10.
 272       25       28      181           10.
 273       34       22      136           11.
 274       59       74      164            9.
 275       52       24      148           10.
 276       44       71      211           11.
 277       50       24      127            8.
 278       37       51      158           12.
 279       18       24      210           12.
 280       43       23      219            8.
 281       23       72      149           12.
 282       49       12      187           11.
 283       24       47      211            9.
 284       65       18      209           11.
 285       33       52      156           11.
 286       61       65      162            8.
 287       26       36      203           12.
 288       53       54      175            8.
 289       59       26      213           11.
 290       10       12      187           11.
 291       38       73      213           12.
 292       60       66      154           11.
 293       63       31      176           10.
 294       19       70      168           12.
 295       11       69      212            8.
 296       57       73      137           10.
 297       69       19      228            8.
 298       71       36      160           11.
 299       64       71      226           11.
 300       23       16      177            8.
 301       19       42      193            8.
 302       36       25      118           12.
 303       73       56      170            8.
 304       32       65      222           11.
 305       39       71      203            8.
 306       20       32      189           10.
 307       56       16      140           12.
 308       32       63      173           12.
 309       15       69      171            9.
 310       12       70      151           10.
 311       47       18      160           10.
 312       62       10      221           11.
 313       22       15      133            9.
 314       43       59      193           10.
 315       18       70      152           12.
 316       62       20      155            8.
 317       74       66      218           12.
 318       35       59      203            8.
 319       16       42      215           12.
 320       73       26      164           10.
 321       68       68      125            8.
 322       47       64      117           10.
 323       36       27      143           10.
 324       65       12      174           11.
 325       23       65      120           11.
 326       24       55      221           10.
 327       13       71      147           11.
 328       51       60      118           10.
 329       57       46      202           12.
 330       48       63      181            9.
 331       69       64      142           12.
 332       65       20      182           10.
 333       46       10      219           12.
 334       14       71      126           11.
 335       38       44      187           11.
 336       14       36      153           10.
 337       58       71      216           12.
 338       68       31      224            9.
 339       40       64      214           10.
 340       72       30      136            8.
 341       37       44      193           11.
 342       35       10      141           12.
 343       70       12      230           11.
 344       19       65      132           10.
 345       63       63      217           10.
 346       32       49      174           10.
 347       52       27      138           11.
 348       33       42      128           12.
 349       72       54      203            9.
 350       33       63      194           10.
 351       40       26      184            9.
 352       18       57      159            9.
 353       64       74      199            9.
 354       49       31      200            8.
 355       36       62      117           12.
 356       15       20      137           10.
 357       14       12      164           10.
 358       17       72      189           10.
 359       16       24      206            8.
 360       45       27      154           10.
 361       48       26      127            9.
 362       11       38      184            9.
 363       47       15      137            8.
 364       11       72      193           12.
 365       34       37      205           10.
 366       68       45      187           10.
 367       60       43      151           10.
 368       67       22      187           12.
 369       38       10      129           11.
 370       22       66      158           11.
 371       75       74      200            9.
 372       68       75      130           11.
 373       20       18      144           10.
 374       11       60      118            9.
 375       56       72      214           12.
 376       72       38      177            9.
 377       44       51      222            9.
 378       20       26      182           12.
 379       71       45      150           10.
 380       12       21      179           10.
 381       68       54      201            9.
 382       22       44      132           12.
 383       30       45      228           10.
 384       20       54      153            9.
 385       22       43      175           10.
 386       14       35      120            9.
 387       57       24      149            9.
 388       33       13      160           10.
 389       13       27      168            9.
 390       18       48      154            9.
 391       12       35      203           11.
 392       40       32      157            9.
 393       74       13      217            8.
 394       35       46      135            9.
 395       50       13      208           11.
 396       72       34      206           10.
 397       72       33      144            8.
 398       63       34      149            9.
 399       57       13      161            8.
 400       23       50      166            9.
 
RECHARGE POINTS:
  NO.  XCOORD.  YCOORD.  T0CHAR  TECHNOLOGIES
 
   0       10       10       0.         1 0 0
 401       10       10       5.         0 1 1
 402       42       26       5.         0 0 1
 403       26       42       5.         0 0 1
 404       58       42       5.         0 0 1
 405       42       58       5.         0 1 1
 
TECHNOLOGY KINDS:
  KIND  SPEED RECHARGE  UNIT COST
 
     0           3600.      0.160
     1          20000.      0.176
     2          45000.      0.192
 
END
