NAME: TEST-12-N400
 
--------------------------------------------------------------------------------
 
$ DATA SECTIONS
 
  NN  NK  NR NTR    VEL    BMAX    CPOW TIMEMAX QMAX F0CHAR F0VEHIC
 400 100   9   2    25.  20000.    125.    480. 2300   2.27   100.
 
CUSTOMERS:
  NO.  XCOORD.  YCOORD.  DEMAND  SERVICE TIME
 
   1       37       49      224            8.
   2      108       84      226            8.
   3      121       95      186            8.
   4      127       64      189            9.
   5       54       81      187           12.
   6      105       80      172            8.
   7       72       48      165           11.
   8       64      108      230           11.
   9      114       56      217           11.
  10       79       98      138            9.
  11      102       64      175           11.
  12       48       23      207           12.
  13       66       93      152            9.
  14       32       56      155            9.
  15       81       93      215           12.
  16      118       51      151            8.
  17       48       92      136           10.
  18       95       41      160            9.
  19       60      118      222           12.
  20       59      121      124           10.
  21      128      112      156           12.
  22       47       14      213            9.
  23       98      109      209           10.
  24       46       80      125            9.
  25      111       46      183            9.
  26       48       57      165            9.
  27       58       63      194           11.
  28       78       21      219           12.
  29       49       99      179            9.
  30       86      112      193            9.
  31       64       27      133            9.
  32       67      111      132           10.
  33       41       28      119           12.
  34      103       52      211           11.
  35       62       20      194           11.
  36      129       82      141           11.
  37       18       15      191           12.
  38      128       10      179            8.
  39       68       31      202           12.
  40       43       47      143            9.
  41       69       53      213            9.
  42       68       38      125           11.
  43       52       32      229           12.
  44       55       14      203           12.
  45      117       33      194            8.
  46      128       81      117           11.
  47       19       28      125            8.
  48      105       83      230           11.
  49       75      104      199           11.
  50      126      129      174           11.
  51       96       65      172           12.
  52       14       57      141           10.
  53       85      103      195            9.
  54       80       29      128           10.
  55       97       44      206           10.
  56      123      128      186           10.
  57      114      106      197            8.
  58       24      106      205           11.
  59       43       27      173           10.
  60       48       38      219           10.
  61       20       26      137            8.
  62      120      123      122           11.
  63       62       15      185           10.
  64       60       10      199            9.
  65      124      129      172           11.
  66       84       14      150            8.
  67       99       74      134           12.
  68      115      122      196            9.
  69       13       47      138           11.
  70       92       26      116           10.
  71      106       12      169            9.
  72       29      114      188            9.
  73       12       15      188            8.
  74       97       87      194           12.
  75       66       21      188            9.
  76       16      127      121            9.
  77      120       14      202            8.
  78       41      111      173           12.
  79       62       87      220           10.
  80       86      129      202           12.
  81       30       21      230           12.
  82       37       19      213            9.
  83      124      124      211            9.
